timestamp,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z
1730864214385,-4.418700,0.949500,-1.719600,0.262800,0.143100,9.668000,0.053500,0.029100,1.971000
1730864214385,-4.471100,0.971900,-1.786900,0.247800,0.132900,9.661500,0.050500,0.027000,1.969700
1730864214386,-4.344000,0.822400,-1.779400,0.259200,0.131100,9.663900,0.052800,0.026700,1.970200
1730864214386,-4.344000,0.829900,-1.816800,0.253200,0.134100,9.669200,0.051600,0.027300,1.971300
1730864214387,-4.441200,0.874700,-1.764500,0.265800,0.139500,9.662700,0.054100,0.028400,1.969900
1730864214387,-4.673000,0.844800,-1.914000,0.267000,0.137700,9.665600,0.053700,0.026800,1.970400
1730864214387,-4.568300,0.949500,-1.809300,0.256800,0.121500,9.665600,0.052300,0.024700,1.970500
1730864214387,-4.545800,0.904600,-1.772000,0.258600,0.128100,9.661500,0.052700,0.026100,1.969700
1730864214388,-4.590700,0.957000,-1.801900,0.247800,0.134100,9.660900,0.050500,0.027300,1.969600
1730864214388,-4.493500,0.912100,-1.772000,0.249000,0.133500,9.672200,0.050700,0.027200,1.971900
1730864214388,-4.613100,0.919600,-1.794400,0.256200,0.135900,9.680000,0.055200,0.026600,1.972000
1730864214389,-4.411300,0.971900,-1.772000,0.271200,0.130500,9.663900,0.054900,0.027500,1.970200
1730864214389,-4.590700,-1.084100,-1.772000,0.265800,0.142500,9.666200,0.054100,0.029000,1.970700
1730864214389,-4.471100,0.897200,-1.816800,0.261600,0.138300,9.662100,0.053300,0.028100,1.969800
1730864214390,-4.590700,0.912100,-1.884100,0.247800,0.135900,9.670400,0.050500,0.027700,1.971500
1730864214390,-4.673000,0.889700,-1.876600,0.243600,0.128700,9.674600,0.049600,0.026200,1.972400
1730864214390,-4.575800,0.814900,-1.764500,0.247200,0.124500,9.662700,0.051000,0.024900,1.970200
1730864214391,-4.515900,0.919600,-1.801900,0.260400,0.128100,9.660900,0.053100,0.026100,1.969600
1730864214391,-4.560800,0.942000,-1.846700,0.253800,0.145400,9.671600,0.051700,0.029600,1.971800
1730864214391,-4.538400,0.882200,-1.809300,0.267000,0.147200,9.671600,0.054400,0.030000,1.971800
1730864214392,-4.456100,0.762600,-1.742000,0.263400,0.150200,9.660300,0.053700,0.030600,1.969400
1730864214392,-4.471100,0.889700,-1.786900,0.259800,0.139500,9.655500,0.052900,0.028400,1.968500
1730864214392,-4.560800,0.889700,-1.839200,0.245400,0.129900,9.678200,0.048200,0.026300,1.971900
1730864214393,-4.441200,0.949500,-1.764500,0.250800,0.122700,9.663900,0.051100,0.025000,1.970200
1730864214393,-4.553300,0.994400,-1.704700,0.270600,0.134700,9.660300,0.055100,0.027400,1.969400
1730864214393,-4.620600,0.904600,-1.816800,0.270000,0.145400,9.656700,0.055000,0.029600,1.968700
1730864214394,-4.575800,0.800000,-1.816800,0.276000,0.146000,9.660300,0.056200,0.029700,1.969400
1730864214394,-4.650500,0.889700,-1.831800,0.273600,0.144200,9.673400,0.054400,0.029000,1.970900
1730864214394,-4.560800,0.882200,-1.801900,0.267000,0.142500,9.666800,0.049900,0.025700,1.970800
1730864214395,-4.478600,0.822400,-1.831800,0.243000,0.126300,9.671000,0.049500,0.025700,1.971600
1730864214395,-4.538400,0.822400,-1.824300,0.241800,0.116100,9.665100,0.049300,0.023600,1.970400
1730864214395,-4.598200,0.912100,-1.869200,0.251400,0.130500,9.661500,0.051200,0.026600,1.969700
1730864214396,-4.433700,0.844800,-1.801900,0.267000,0.134100,9.679400,0.054400,0.027300,1.973300
1730864214396,-4.665500,0.837400,-1.757000,0.267600,0.150200,9.664500,0.054400,0.030200,1.970200
