timestamp,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z
1730864996540,-4.665500,0.859800,-1.629900,0.256800,-7.498800,-6.461700,0.052300,-1.528800,-1.317300
1730864996541,-4.620600,0.837400,-1.562600,0.259800,-7.498200,-6.456900,0.052900,-1.528600,-1.316400
1730864996541,-4.658000,0.844800,-1.532700,0.256200,-7.507100,-6.466500,0.052600,-1.531700,-1.317800
1730864996541,-4.717800,0.867300,-1.622400,0.256800,-7.498200,-6.456900,0.052300,-1.528600,-1.316400
1730864996541,-4.822500,0.889700,-1.614900,0.252600,-7.497000,-6.459900,0.051500,-1.528400,-1.317000
1730864996542,-4.732800,0.725200,-1.592500,0.251400,-7.511900,-6.459300,0.051300,-1.531400,-1.316800
1730864996542,-4.822500,0.874700,-1.749500,0.259800,-7.498200,-6.459300,0.052900,-1.528600,-1.316800
1730864996542,-4.725300,0.859800,-1.607500,0.262200,-7.514300,-6.464700,0.053400,-1.531900,-1.317900
1730864996543,-4.889800,0.867300,-1.674800,0.265800,-7.509500,-6.464100,0.054100,-1.531000,-1.317800
1730864996543,-4.859900,0.912100,-1.659800,0.257400,-7.494600,-6.458700,0.052400,-1.527900,-1.316700
1730864996543,-4.882300,0.919600,-1.614900,0.261000,-7.498800,-6.465300,0.053200,-1.528800,-1.318100
1730864996544,-4.815000,0.807400,-1.637400,0.256200,-7.502900,-6.458100,0.052200,-1.529600,-1.316600
1730864996544,-4.844900,0.837400,-1.600000,0.251400,-7.497000,-6.458100,0.051200,-1.528400,-1.316600
1730864996544,-4.822500,0.912100,-1.674800,0.255600,-7.508300,-6.456300,0.054100,-1.529600,-1.318900
1730864996545,-4.897300,0.859800,-1.667300,0.252600,-7.506500,-6.456900,0.051500,-1.530300,-1.316400
1730864996545,-4.882300,0.912100,-1.637400,0.252000,-7.503500,-6.461700,0.051300,-1.529700,-1.317300
1730864996545,-4.673000,0.770100,-1.659800,0.252600,-7.501800,-6.469500,0.051600,-1.528400,-1.318100
1730864996546,-4.740200,0.889700,-1.577600,0.247800,-7.508300,-6.456900,0.050500,-1.530700,-1.316400
1730864996546,-4.882300,-1.046700,-1.644800,0.253800,-7.506500,-6.455700,0.051700,-1.530300,-1.316100
1730864996546,-4.605700,0.904600,-1.719600,0.261600,-7.502300,-6.461700,0.052800,-1.529700,-1.318400
1730864996547,-4.792600,0.882200,-1.607500,0.258000,-7.508300,-6.470100,0.052600,-1.530700,-1.319000
1730864996547,-4.762700,0.859800,-1.644800,0.241200,-7.501800,-6.451500,0.049100,-1.529400,-1.315300
1730864996547,-4.732800,0.897200,-1.629900,0.258600,-7.503500,-6.462900,0.053200,-1.529700,-1.317600
1730864996547,-4.807500,0.852300,-1.629900,0.250200,-7.502300,-6.466500,0.051000,-1.529500,-1.318300
1730864996548,-4.957100,0.814900,-1.637400,0.252600,-7.504100,-6.458700,0.051500,-1.529900,-1.316700
1730864996548,-4.598200,0.747600,-1.532700,0.258000,-7.508900,-6.461100,0.052600,-1.530800,-1.317200
1730864996548,-4.904700,0.792500,-1.532700,0.256200,-7.501200,-6.448500,0.052200,-1.529200,-1.314600
1730864996549,-4.785100,0.919600,-1.585000,0.255000,-7.496400,-6.456300,0.052000,-1.528300,-1.316200
1730864996549,-4.859900,0.822400,-1.712100,0.264600,-7.510100,-6.470100,0.053900,-1.531100,-1.319000
1730864996549,-4.717800,0.904600,-1.592500,0.253200,-7.499400,-6.455700,0.051600,-1.528900,-1.316100
1730864996550,-4.994500,0.867300,-1.659800,0.253200,-7.499400,-6.459300,0.052100,-1.530500,-1.317300
1730864996550,-4.785100,0.807400,-1.652300,0.261000,-7.500600,-6.465300,0.053200,-1.529100,-1.318100
1730864996550,-4.830000,0.912100,-1.629900,0.255600,-7.508300,-6.454500,0.052100,-1.530700,-1.315900
1730864996550,-4.777600,0.785000,-1.637400,0.242400,-7.500000,-6.455100,0.051600,-1.530100,-1.316600
1730864996551,-4.628100,0.822400,-1.667300,0.265200,-7.514300,-6.464100,0.054000,-1.531900,-1.317800
1730864996551,-4.658000,0.777500,-1.517700,0.262200,-7.492800,-6.453300,0.053400,-1.527500,-1.315600
1730864996551,-4.486000,0.762600,-1.682200,0.261600,-7.469400,-6.416200,0.052600,-1.530500,-1.317000
1730864996552,-4.605700,0.829900,-1.659800,0.259800,-7.535300,-6.496400,0.052900,-1.536200,-1.324400
1730864996552,-5.031800,0.800000,-1.629900,0.267000,-7.492200,-6.462900,0.054400,-1.527400,-1.317600
1730864996552,-4.987000,0.949500,-1.495300,0.260400,-7.507100,-6.463500,0.053300,-1.530500,-1.317700
1730864996553,-4.912200,0.785000,-1.697200,0.268800,-7.534100,-6.483300,0.054800,-1.536000,-1.321700
1730864996553,-5.031800,0.867300,-1.577600,0.256800,-7.494600,-6.452100,0.052300,-1.527900,-1.315400
1730864996553,-4.897300,0.934600,-1.547600,0.239500,-7.532300,-6.465300,0.048800,-1.535600,-1.318100
1730864996554,-4.792600,0.740200,-1.614900,0.271200,-7.543700,-6.498800,0.055200,-1.537900,-1.324900
1730864996554,-4.949600,0.777500,-1.450500,0.276600,-7.510700,-6.471300,0.056300,-1.531200,-1.288000
1730864996554,-5.181400,-1.046700,-1.345800,0.243000,-7.492800,-6.441400,0.049500,-1.527500,-1.313200
1730864996555,-4.942100,0.822400,-1.622400,0.259800,-7.503500,-6.460500,0.052900,-1.529700,-1.317100
1730864996555,-4.994500,0.755100,-1.428000,0.266400,-7.538900,-6.471300,0.052300,-1.541100,-1.322200
1730864996555,-5.166400,0.844800,-1.398100,0.256200,-7.513700,-6.443200,0.052200,-1.531800,-1.313500
1730864996555,-5.353300,-1.076600,-1.248600,0.252000,-7.537100,-6.457500,0.051300,-1.536600,-1.316500
1730864996556,-5.428100,-1.076600,-1.435500,0.254400,-7.511900,-6.459900,0.054600,-1.527200,-1.312300
1730864996556,-5.435600,0.889700,-1.420500,0.242400,-7.484400,-6.424000,0.049400,-1.525800,-1.309600
1730864996556,-5.338400,0.889700,-1.652300,0.262200,-7.504700,-6.443700,0.053400,-1.530000,-1.313700
1730864996557,-5.308500,-1.009300,-1.443000,0.251400,-7.470600,-6.411400,0.046300,-1.534600,-1.316000
1730864996557,-5.248700,-1.173800,-1.420500,0.223900,-7.447300,-6.394100,0.045600,-1.518300,-1.303500
1730864996557,-5.271100,0.785000,-1.943900,0.254400,-7.557400,-6.422200,0.051800,-1.540700,-1.309300
1730864996558,-4.994500,0.844800,-1.502800,0.262800,-7.489200,-6.378500,0.047900,-1.526800,-1.300400
1730864996558,-4.762700,0.934600,-1.555100,0.229900,-7.540100,-6.466500,0.046800,-1.537200,-1.318300
1730864996558,-4.807500,0.710200,-1.914000,0.264000,-7.500000,-6.424600,0.053800,-1.529000,-1.309800
1730864996559,-4.957100,-1.061700,-1.330800,0.240600,-7.534100,-6.428200,0.049000,-1.536000,-1.310500
1730864996559,-4.912200,0.852300,-1.682200,0.232900,-7.516100,-6.436000,0.047400,-1.532300,-1.312100
1730864996559,-4.792600,0.807400,-1.734600,0.254400,-7.525100,-6.467100,0.051800,-1.534100,-1.318400
1730864996560,-4.912200,0.912100,-1.585000,0.250800,-7.526900,-6.425200,0.051100,-1.534500,-1.309900
1730864996560,-4.994500,-1.024300,-1.525200,0.238300,-7.522700,-6.421600,0.048500,-1.533600,-1.309200
1730864996560,-4.912200,0.844800,-1.794400,0.249000,-7.531100,-6.447900,0.052200,-1.533500,-1.312300
1730864996560,-4.844900,0.829900,-1.562600,0.238900,-7.529900,-6.434200,0.048700,-1.535100,-1.311700
1730864996561,-4.994500,0.979400,-1.525200,0.233500,-7.523900,-6.437800,0.047600,-1.533900,-1.312500
1730864996561,-4.613100,0.807400,-1.816800,0.252600,-7.532900,-6.437200,0.052800,-1.535500,-1.313700
1730864996561,-4.972000,0.912100,-1.525200,0.255000,-7.525700,-6.440200,0.052000,-1.534300,-1.312900
1730864996562,-4.844900,0.867300,-1.472900,0.234100,-7.520300,-6.436000,0.047700,-1.533200,-1.312100
1730864996562,-4.658000,0.829900,-1.846700,0.244800,-7.519700,-6.448500,0.052000,-1.534300,-1.314800
1730864996562,-4.830000,0.994400,-1.719600,0.250800,-7.525700,-6.432400,0.051100,-1.534300,-1.311400
1730864996563,-4.762700,0.852300,-1.517700,0.240600,-7.531100,-6.436600,0.049000,-1.535400,-1.312200
1730864996563,-4.628100,0.725200,-1.667300,0.257400,-7.522700,-6.458700,0.051000,-1.533600,-1.316700
1730864996563,-4.822500,0.770100,-1.629900,0.249000,-7.532900,-6.428800,0.050700,-1.535700,-1.310600
1730864996563,-4.777600,0.957000,-1.525200,0.241200,-7.529900,-6.418600,0.049100,-1.535100,-1.308500
1730864996564,-4.613100,0.800000,-1.697200,0.249600,-7.520900,-6.455100,0.050900,-1.533300,-1.316000
1730864996564,-4.650500,0.859800,-1.607500,0.247800,-7.525100,-6.451500,0.050500,-1.534100,-1.315300
1730864996564,-4.942100,0.859800,-1.622400,0.239500,-7.516100,-6.432400,0.048800,-1.532300,-1.311400
1730864996565,-4.777600,0.837400,-1.682200,0.249600,-7.513700,-6.440800,0.050900,-1.531800,-1.313100
1730864996565,-4.964500,0.814900,-1.667300,0.245400,-7.523900,-6.443700,0.050000,-1.533900,-1.313700
1730864996565,-4.807500,0.897200,-1.577600,0.237700,-7.535300,-6.434800,0.050200,-1.535400,-1.310000
1730864996566,-4.867400,0.859800,-1.719600,0.246600,-7.528100,-6.437800,0.050200,-1.534700,-1.312500
1730864996566,-4.912200,0.814900,-1.689700,0.256200,-7.522700,-6.450300,0.052200,-1.533600,-1.315000
1730864996566,-4.972000,0.882200,-1.577600,0.246000,-7.516700,-6.440800,0.050200,-1.534700,-1.311100
1730864996567,-4.934600,0.912100,-1.689700,0.243600,-7.529300,-6.431200,0.049600,-1.535000,-1.311100
1730864996567,-4.785100,0.725200,-1.667300,0.252600,-7.523900,-6.444300,0.051500,-1.533900,-1.313800
1730864996567,-4.777600,0.844800,-1.614900,0.239500,-7.526300,-6.432400,0.050000,-1.533300,-1.311600
1730864996568,-4.852400,0.867300,-1.742000,0.250800,-7.522700,-6.442600,0.051100,-1.533600,-1.313400
1730864996568,-4.650500,0.829900,-1.570100,0.238300,-7.528700,-6.435400,0.048500,-1.534900,-1.312000
1730864996568,-5.031800,0.904600,-1.659800,0.241200,-7.531100,-6.436600,0.050700,-1.535400,-1.312200
1730864996568,-4.830000,0.882200,-1.614900,0.247200,-7.523300,-6.440800,0.050400,-1.533800,-1.313100
1730864996569,-4.852400,0.882200,-1.772000,0.246600,-7.532900,-6.433600,0.050200,-1.535700,-1.311600
1730864996569,-4.964500,0.904600,-1.674800,0.247200,-7.517900,-6.441400,0.050400,-1.532700,-1.313200
1730864996569,-5.016900,0.927100,-1.712100,0.238900,-7.528100,-6.437800,0.048700,-1.534700,-1.312500
1730864996570,-4.815000,0.800000,-1.637400,0.249600,-7.528100,-6.443700,0.050900,-1.534700,-1.311800
1730864996570,-4.844900,0.942000,-1.727100,0.250200,-7.527500,-6.437200,0.051000,-1.534600,-1.312300
1730864996570,-4.867400,0.807400,-1.704700,0.249600,-7.532900,-6.431800,0.050900,-1.535700,-1.311200
1730864996571,-4.927200,0.859800,-1.614900,0.253200,-7.528700,-6.439000,0.050200,-1.532700,-1.311000
1730864996571,-4.867400,0.919600,-1.682200,0.251400,-7.525700,-6.429400,0.051200,-1.534300,-1.310700
1730864996571,-4.815000,0.829900,-1.585000,0.250200,-7.522100,-6.439600,0.051000,-1.533500,-1.312800
1730864996572,-4.942100,0.770100,-1.712100,0.245400,-7.524500,-6.442000,0.051100,-1.533900,-1.313300
1730864996572,-4.837400,0.889700,-1.652300,0.250800,-7.526900,-6.444900,0.051100,-1.534500,-1.313900
1730864996572,-4.957100,0.867300,-1.607500,0.248400,-7.529300,-6.445500,0.050600,-1.535000,-1.314000
1730864996572,-4.800100,0.829900,-1.607500,0.243600,-7.526900,-6.437200,0.050200,-1.533800,-1.310000
1730864996573,-4.732800,0.874700,-1.555100,0.246600,-7.529300,-6.436600,0.050200,-1.535000,-1.312200
1730864996573,-4.725300,0.867300,-1.600000,0.242400,-7.531100,-6.433600,0.049400,-1.535400,-1.311600
1730864996573,-4.740200,0.852300,-1.614900,0.245400,-7.531100,-6.430000,0.051500,-1.535400,-1.310900
1730864996574,-4.762700,0.889700,-1.637400,0.255600,-7.530500,-6.431800,0.052100,-1.535200,-1.311200
1730864996574,-4.934600,0.957000,-1.600000,0.238900,-7.527500,-6.432400,0.048700,-1.534600,-1.311400
1730864996574,-4.882300,0.770100,-1.689700,0.251400,-7.529900,-6.433000,0.051200,-1.535100,-1.311500
1730864996575,-4.725300,0.942000,-1.659800,0.253800,-7.533500,-6.431800,0.051700,-1.535800,-1.311200
1730864996575,-4.815000,0.837400,-1.532700,0.241800,-7.528700,-6.443700,0.049300,-1.534900,-1.312500
1730864996575,-4.904700,0.934600,-1.697200,0.246000,-7.534700,-6.430000,0.050100,-1.536100,-1.310900
1730864996576,-4.904700,0.837400,-1.600000,0.250200,-7.530500,-6.428200,0.051000,-1.535200,-1.310500
1730864996576,-4.972000,0.874700,-1.667300,0.244200,-7.525100,-6.436000,0.050900,-1.532700,-1.312500
1730864996576,-4.800100,0.770100,-1.629900,0.253800,-7.528100,-6.434800,0.051700,-1.534700,-1.311800
1730864996576,-4.897300,0.897200,-1.629900,0.247800,-7.528100,-6.430600,0.050500,-1.534700,-1.311000
1730864996577,-4.912200,0.859800,-1.749500,0.246600,-7.532900,-6.440200,0.051300,-1.535600,-1.313500
1730864996577,-4.844900,0.889700,-1.644800,0.253800,-7.519100,-6.443200,0.051700,-1.532900,-1.313500
1730864996577,-4.695400,0.837400,-1.592500,0.238900,-7.532300,-6.436000,0.048700,-1.535600,-1.312100
1730864996578,-4.807500,0.822400,-1.577600,0.246000,-7.524500,-6.433000,0.050500,-1.534700,-1.312600
1730864996578,-4.680400,0.717700,-1.614900,0.250200,-7.534700,-6.436000,0.051000,-1.536100,-1.312100
1730864996578,-4.598200,0.822400,-1.525200,0.249000,-7.527500,-6.438400,0.050700,-1.534600,-1.312600
1730864996579,-4.620600,0.852300,-1.659800,0.249000,-7.538300,-6.430000,0.050100,-1.536800,-1.310900
1730864996579,-4.800100,0.889700,-1.652300,0.249000,-7.525100,-6.436600,0.050700,-1.534100,-1.312200
1730864996579,-4.800100,0.934600,-1.719600,0.248400,-7.529900,-6.444900,0.050600,-1.535100,-1.313900
1730864996580,-4.628100,0.770100,-1.600000,0.244200,-7.526300,-6.442600,0.049800,-1.534400,-1.313400
