timestamp,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,Corrected_Mag_x,Corrected_Mag_y,Corrected_Mag_z
1730864996540,-4.6655,0.8598,-1.6299,0.2568,-7.4988,-6.4617,0.0523,-1.5288,-1.3173,-0.21310536815379,-1.50433210010881,-1.8862110748398
1730864996541,-4.6206,0.8374,-1.5626,0.2598,-7.4982,-6.4569,0.0529,-1.5286,-1.3164,-0.21250536815379,-1.50413210010881,-1.8853110748398
1730864996541,-4.658,0.8448,-1.5327,0.2562,-7.5071,-6.4665,0.0526,-1.5317,-1.3178,-0.21280536815379,-1.50723210010881,-1.8867110748398
1730864996541,-4.7178,0.8673,-1.6224,0.2568,-7.4982,-6.4569,0.0523,-1.5286,-1.3164,-0.21310536815379,-1.50413210010881,-1.8853110748398
1730864996541,-4.8225,0.8897,-1.6149,0.2526,-7.497,-6.4599,0.0515,-1.5284,-1.317,-0.21390536815379,-1.50393210010881,-1.8859110748398
1730864996542,-4.7328,0.7252,-1.5925,0.2514,-7.5119,-6.4593,0.0513,-1.5314,-1.3168,-0.21410536815379,-1.50693210010881,-1.8857110748398
1730864996542,-4.8225,0.8747,-1.7495,0.2598,-7.4982,-6.4593,0.0529,-1.5286,-1.3168,-0.21250536815379,-1.50413210010881,-1.8857110748398
1730864996542,-4.7253,0.8598,-1.6075,0.2622,-7.5143,-6.4647,0.0534,-1.5319,-1.3179,-0.21200536815379,-1.50743210010881,-1.8868110748398
1730864996543,-4.8898,0.8673,-1.6748,0.2658,-7.5095,-6.4641,0.0541,-1.531,-1.3178,-0.21130536815379,-1.50653210010881,-1.8867110748398
1730864996543,-4.8599,0.9121,-1.6598,0.2574,-7.4946,-6.4587,0.0524,-1.5279,-1.3167,-0.21300536815379,-1.50343210010881,-1.8856110748398
1730864996543,-4.8823,0.9196,-1.6149,0.261,-7.4988,-6.4653,0.0532,-1.5288,-1.3181,-0.21220536815379,-1.50433210010881,-1.8870110748398
1730864996544,-4.815,0.8074,-1.6374,0.2562,-7.5029,-6.4581,0.0522,-1.5296,-1.3166,-0.21320536815379,-1.50513210010881,-1.8855110748398
1730864996544,-4.8449,0.8374,-1.6,0.2514,-7.497,-6.4581,0.0512,-1.5284,-1.3166,-0.21420536815379,-1.50393210010881,-1.8855110748398
1730864996544,-4.8225,0.9121,-1.6748,0.2556,-7.5083,-6.4563,0.0541,-1.5296,-1.3189,-0.21130536815379,-1.50513210010881,-1.8878110748398
1730864996545,-4.8973,0.8598,-1.6673,0.2526,-7.5065,-6.4569,0.0515,-1.5303,-1.3164,-0.21390536815379,-1.50583210010881,-1.8853110748398
1730864996545,-4.8823,0.9121,-1.6374,0.252,-7.5035,-6.4617,0.0513,-1.5297,-1.3173,-0.21410536815379,-1.50523210010881,-1.8862110748398
1730864996545,-4.673,0.7701,-1.6598,0.2526,-7.5018,-6.4695,0.0516,-1.5284,-1.3181,-0.21380536815379,-1.50393210010881,-1.8870110748398
1730864996546,-4.7402,0.8897,-1.5776,0.2478,-7.5083,-6.4569,0.0505,-1.5307,-1.3164,-0.21490536815379,-1.50623210010881,-1.8853110748398
1730864996546,-4.8823,-1.0467,-1.6448,0.2538,-7.5065,-6.4557,0.0517,-1.5303,-1.3161,-0.21370536815379,-1.50583210010881,-1.8850110748398
1730864996546,-4.6057,0.9046,-1.7196,0.2616,-7.5023,-6.4617,0.0528,-1.5297,-1.3184,-0.21260536815379,-1.50523210010881,-1.8873110748398
1730864996547,-4.7926,0.8822,-1.6075,0.258,-7.5083,-6.4701,0.0526,-1.5307,-1.319,-0.21280536815379,-1.50623210010881,-1.8879110748398
1730864996547,-4.7627,0.8598,-1.6448,0.2412,-7.5018,-6.4515,0.0491,-1.5294,-1.3153,-0.21630536815379,-1.50493210010881,-1.8842110748398
1730864996547,-4.7328,0.8972,-1.6299,0.2586,-7.5035,-6.4629,0.0532,-1.5297,-1.3176,-0.21220536815379,-1.50523210010881,-1.8865110748398
1730864996547,-4.8075,0.8523,-1.6299,0.2502,-7.5023,-6.4665,0.051,-1.5295,-1.3183,-0.21440536815379,-1.50503210010881,-1.8872110748398
1730864996548,-4.9571,0.8149,-1.6374,0.2526,-7.5041,-6.4587,0.0515,-1.5299,-1.3167,-0.21390536815379,-1.50543210010881,-1.8856110748398
1730864996548,-4.5982,0.7476,-1.5327,0.258,-7.5089,-6.4611,0.0526,-1.5308,-1.3172,-0.21280536815379,-1.50633210010881,-1.8861110748398
1730864996548,-4.9047,0.7925,-1.5327,0.2562,-7.5012,-6.4485,0.0522,-1.5292,-1.3146,-0.21320536815379,-1.50473210010881,-1.8835110748398
1730864996549,-4.7851,0.9196,-1.585,0.255,-7.4964,-6.4563,0.052,-1.5283,-1.3162,-0.21340536815379,-1.50383210010881,-1.8851110748398
1730864996549,-4.8599,0.8224,-1.7121,0.2646,-7.5101,-6.4701,0.0539,-1.5311,-1.319,-0.21150536815379,-1.50663210010881,-1.8879110748398
1730864996549,-4.7178,0.9046,-1.5925,0.2532,-7.4994,-6.4557,0.0516,-1.5289,-1.3161,-0.21380536815379,-1.50443210010881,-1.8850110748398
1730864996550,-4.9945,0.8673,-1.6598,0.2532,-7.4994,-6.4593,0.0521,-1.5305,-1.3173,-0.21330536815379,-1.50603210010881,-1.8862110748398
1730864996550,-4.7851,0.8074,-1.6523,0.261,-7.5006,-6.4653,0.0532,-1.5291,-1.3181,-0.21220536815379,-1.50463210010881,-1.8870110748398
1730864996550,-4.83,0.9121,-1.6299,0.2556,-7.5083,-6.4545,0.0521,-1.5307,-1.3159,-0.21330536815379,-1.50623210010881,-1.8848110748398
1730864996550,-4.7776,0.785,-1.6374,0.2424,-7.5,-6.4551,0.0516,-1.5301,-1.3166,-0.21380536815379,-1.50563210010881,-1.8855110748398
1730864996551,-4.6281,0.8224,-1.6673,0.2652,-7.5143,-6.4641,0.054,-1.5319,-1.3178,-0.21140536815379,-1.50743210010881,-1.8867110748398
1730864996551,-4.658,0.7775,-1.5177,0.2622,-7.4928,-6.4533,0.0534,-1.5275,-1.3156,-0.21200536815379,-1.50303210010881,-1.8845110748398
1730864996551,-4.486,0.7626,-1.6822,0.2616,-7.4694,-6.4162,0.0526,-1.5305,-1.317,-0.21280536815379,-1.50603210010881,-1.8859110748398
1730864996552,-4.6057,0.8299,-1.6598,0.2598,-7.5353,-6.4964,0.0529,-1.5362,-1.3244,-0.21250536815379,-1.51173210010881,-1.8933110748398
1730864996552,-5.0318,0.8,-1.6299,0.267,-7.4922,-6.4629,0.0544,-1.5274,-1.3176,-0.21100536815379,-1.50293210010881,-1.8865110748398
1730864996552,-4.987,0.9495,-1.4953,0.2604,-7.5071,-6.4635,0.0533,-1.5305,-1.3177,-0.21210536815379,-1.50603210010881,-1.8866110748398
1730864996553,-4.9122,0.785,-1.6972,0.2688,-7.5341,-6.4833,0.0548,-1.536,-1.3217,-0.21060536815379,-1.51153210010881,-1.8906110748398
1730864996553,-5.0318,0.8673,-1.5776,0.2568,-7.4946,-6.4521,0.0523,-1.5279,-1.3154,-0.21310536815379,-1.50343210010881,-1.8843110748398
1730864996553,-4.8973,0.9346,-1.5476,0.2395,-7.5323,-6.4653,0.0488,-1.5356,-1.3181,-0.21660536815379,-1.51113210010881,-1.8870110748398
1730864996554,-4.7926,0.7402,-1.6149,0.2712,-7.5437,-6.4988,0.0552,-1.5379,-1.3249,-0.21020536815379,-1.51343210010881,-1.8938110748398
1730864996554,-4.9496,0.7775,-1.4505,0.2766,-7.5107,-6.4713,0.0563,-1.5312,-1.288,-0.20910536815379,-1.50673210010881,-1.8569110748398
1730864996554,-5.1814,-1.0467,-1.3458,0.243,-7.4928,-6.4414,0.0495,-1.5275,-1.3132,-0.21590536815379,-1.50303210010881,-1.8821110748398
1730864996555,-4.9421,0.8224,-1.6224,0.2598,-7.5035,-6.4605,0.0529,-1.5297,-1.3171,-0.21250536815379,-1.50523210010881,-1.8860110748398
1730864996555,-4.9945,0.7551,-1.428,0.2664,-7.5389,-6.4713,0.0523,-1.5411,-1.3222,-0.21310536815379,-1.51663210010881,-1.8911110748398
1730864996555,-5.1664,0.8448,-1.3981,0.2562,-7.5137,-6.4432,0.0522,-1.5318,-1.3135,-0.21320536815379,-1.50733210010881,-1.8824110748398
1730864996555,-5.3533,-1.0766,-1.2486,0.252,-7.5371,-6.4575,0.0513,-1.5366,-1.3165,-0.21410536815379,-1.51213210010881,-1.8854110748398
1730864996556,-5.4281,-1.0766,-1.4355,0.2544,-7.5119,-6.4599,0.0546,-1.5272,-1.3123,-0.21080536815379,-1.50273210010881,-1.8812110748398
1730864996556,-5.4356,0.8897,-1.4205,0.2424,-7.4844,-6.424,0.0494,-1.5258,-1.3096,-0.21600536815379,-1.50133210010881,-1.8785110748398
