timestamp,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z
1730861236175,-2.391800,0.506100,0.963200,0.283800,0.181400,9.736300,-118.500000,75.750000,4065.250000
1730861236275,-2.318300,0.469300,0.934600,0.281400,0.163400,9.681200,-117.500000,68.250000,4042.250000
1730861236374,-2.302000,0.436700,0.926500,0.262200,0.158000,9.651300,-112.750000,64.750000,4040.000000
1730861236474,-2.330600,0.432600,0.930600,0.274800,0.152600,9.668600,-114.750000,63.750000,4037.000000
1730861236574,-2.342800,0.383600,0.951000,0.277800,0.168200,9.680000,-116.000000,70.250000,4041.750000
1730861236672,-2.269300,0.371400,0.934600,0.267000,0.158600,9.665100,-111.500000,66.250000,4035.500000
1730861236773,-2.379500,0.457100,-1.000000,0.250800,0.129300,9.659700,-109.750000,63.500000,4042.000000
1730861236873,-2.322400,0.485700,0.922400,0.279600,0.146600,9.663300,-116.750000,61.250000,4034.750000
1730861236973,-2.253000,0.408100,0.918300,0.268200,0.164600,9.685400,-112.000000,68.750000,4044.000000
1730861237072,-2.073400,0.151000,0.983600,0.251400,0.116700,9.607000,-105.000000,48.750000,4011.250000
1730861237171,-2.346900,0.477500,0.914200,0.257400,0.141300,9.639300,-93.000000,57.250000,4024.750000
1730861237271,-2.265300,0.465300,0.934600,0.254400,0.119700,9.661500,-106.250000,50.000000,4034.000000
1730861237371,-2.379500,0.506100,0.906100,0.241800,0.123300,9.657900,-101.000000,51.500000,4032.500000
1730861237471,-2.465300,0.526500,0.963200,0.255600,0.130500,9.653700,-106.750000,54.500000,4030.750000
1730861237570,-2.375500,0.493800,0.926500,0.234700,0.134700,9.656700,-98.000000,56.250000,4032.000000
1730861237669,-2.400000,0.506100,0.942800,0.249000,0.129900,9.660300,-104.000000,55.500000,4036.500000
1730861237769,-2.775500,0.142800,0.991800,0.196900,0.199900,9.651900,-82.250000,83.500000,4030.000000
1730861237870,-2.383600,0.530600,0.955100,0.234700,0.134100,9.683000,-98.000000,56.000000,4043.000000
1730861237969,-2.167300,0.685700,0.934600,0.249000,0.131700,9.664500,-104.000000,55.000000,4035.250000
1730861238068,-2.477500,0.453000,0.771400,0.258600,0.156800,9.668000,-106.000000,81.500000,4037.000000
1730861238168,-2.424400,0.489700,0.975500,0.245400,0.140700,9.670400,-102.500000,58.750000,4037.750000
1730861238268,-2.485700,0.404000,0.681600,0.221500,0.173000,9.646500,-92.500000,72.250000,4027.750000
1730861238368,-2.420400,0.510200,0.971400,0.228700,0.138300,9.653100,-95.500000,57.750000,4030.500000
1730861238467,-2.448900,0.522400,0.493800,0.235300,0.162200,9.693200,-83.250000,1.250000,4032.500000
1730861238568,-2.334600,0.424400,0.191800,0.228100,0.085600,9.664500,-95.250000,35.750000,4035.250000
1730861238667,-2.440800,0.489700,0.481600,0.240100,0.151400,9.679400,-100.250000,63.250000,4041.500000
1730861238767,-2.363200,0.534600,0.938700,0.271200,0.144200,9.674600,-113.250000,60.250000,4039.500000
1730861238867,-2.481600,0.534600,0.955100,0.257400,0.146000,9.675200,-102.750000,60.750000,4039.750000
1730861238967,-2.383600,0.416300,0.971400,0.241800,0.140100,9.666200,-101.000000,58.500000,4036.000000
1730861239066,-2.400000,0.502000,0.918300,0.229300,0.132300,9.679400,-95.750000,55.250000,4041.500000
1730861239166,-2.400000,0.493800,0.028500,0.226300,0.160400,9.680600,-94.500000,67.000000,4042.000000
1730861239266,-2.334600,0.518300,0.910200,0.225700,0.131100,9.648900,-94.250000,54.750000,4028.750000
1730861239365,-2.269300,0.408100,-1.787700,0.250200,0.138300,9.656700,-104.500000,63.000000,4041.000000
1730861239465,-2.534600,0.432600,-3.918300,0.932800,0.025100,9.828500,-389.500000,10.500000,4103.750000
1730861239565,-2.453000,0.522400,0.959100,0.227500,0.126300,9.670400,-95.000000,52.750000,4037.750000
1730861239664,-2.371400,0.453000,0.926500,0.217300,0.161600,9.652500,-90.750000,67.500000,4030.250000
1730861239764,-2.367300,0.363200,0.951000,0.079600,0.005900,9.581800,-139.750000,54.000000,3985.500000
1730861239864,0.126500,-1.889700,-2.710200,0.128700,0.199300,9.914100,-53.750000,83.250000,4139.500000
1730861239964,-4.836700,0.575500,-2.032600,0.250800,0.279600,9.699200,-104.750000,-116.750000,4049.750000
1730861240063,-2.367300,0.583600,0.375500,0.288500,0.155600,9.686600,-120.500000,65.000000,4044.500000
1730861240163,-2.448900,0.546900,0.763200,0.276600,0.091600,9.669800,-77.000000,26.000000,4036.000000
1730861240263,-2.420400,0.575500,0.983600,0.259200,0.147800,9.672200,-108.250000,61.750000,4038.500000
1730861240361,-2.383600,0.510200,0.991800,0.250800,0.154400,9.663300,-104.750000,64.500000,4034.750000
1730861240462,-2.371400,0.595900,0.334600,0.392700,0.176000,9.671000,-164.000000,73.500000,4038.000000
1730861240561,-2.265300,0.918300,-2.281600,0.194500,0.068800,9.688400,-85.750000,35.500000,4039.500000
1730861240661,0.555100,-1.457100,1.432600,0.220300,0.156200,9.653100,-92.000000,65.250000,4030.500000
1730861240761,0.991800,-1.857100,2.473400,0.282600,0.002900,9.715900,-118.000000,-1.250000,4056.750000
1730861240860,2.269300,-6.710200,3.342800,-1.139400,0.328700,9.759700,-475.750000,137.250000,4075.000000
1730861240961,5.102000,-9.318300,1.024400,0.396900,0.380200,10.254800,-165.750000,-158.750000,4281.750000
1730861241061,7.122400,-12.277500,1.265300,-1.510000,0.781900,9.964400,-630.500000,-326.500000,4170.750000
1730861241160,4.930600,-15.265300,0.432600,-1.784800,-1.219000,10.266800,-745.250000,-509.000000,4286.750000
1730861241259,0.685700,-17.208100,-2.195900,-1.838700,-1.172300,9.541700,-767.750000,-489.500000,3984.000000
1730861241360,11.024400,-23.440800,0.440800,-2.283000,-1.277100,8.785500,-953.250000,-533.250000,3668.250000
1730861241460,18.677500,-20.555100,7.159100,-3.591900,-2.339300,9.178300,-1570.750000,-1048.000000,3794.500000
1730861241558,19.906100,-22.326500,6.400000,-3.784100,-3.036200,8.713000,-1580.000000,-1267.750000,3638.000000
1730861241658,22.922400,-19.367300,6.881600,-5.246800,-3.609800,7.031700,-2190.750000,-1507.250000,2936.000000
1730861241759,17.510200,-20.126500,6.853000,-5.207900,-4.320600,6.860500,-2174.500000,-1804.000000,2864.500000
1730861241858,13.702000,-18.289700,7.171400,-4.789400,-5.034300,6.013800,-2018.750000,-2042.250000,2410.000000
1730861241957,7.693800,-7.804000,6.146900,-5.470800,-5.112700,5.090000,-2284.250000,-2134.750000,2125.250000
1730861242058,8.159100,5.918300,11.159100,-5.811500,-6.518600,5.428300,-2426.500000,-2721.750000,2266.500000
1730861242157,2.191800,16.110200,5.914200,-5.057600,-6.647900,5.953400,-2111.750000,-2775.750000,2485.750000
1730861242257,-12.546900,21.318300,1.755100,-4.514000,-6.512600,5.792300,-1774.750000,-2639.750000,2428.000000
1730861242357,-13.644800,13.253000,-5.330600,-4.173900,-6.014400,6.386900,-1742.750000,-2511.250000,2666.750000
1730861242457,-19.959100,14.632600,-3.869300,-3.844600,-5.567200,6.776700,-1605.250000,-2324.500000,2829.500000
1730861242555,-15.653000,20.208100,5.861200,-3.362000,-5.237300,7.591600,-1403.750000,-2186.750000,3169.750000
1730861242656,-18.130600,9.930600,-2.885700,-3.562500,-4.907300,8.461600,-1487.500000,-2049.000000,3533.000000
1730861242756,-22.889700,14.040800,-6.326500,-3.396100,-4.520000,9.060900,-1418.000000,-1937.250000,3733.500000
1730861242856,-23.195900,7.579500,-8.583600,-1.881800,-3.076400,8.684900,-785.750000,-1284.500000,3626.250000
1730861242955,-22.616300,13.453000,-4.995900,-2.066900,-2.643500,9.235100,-863.000000,-1103.750000,3856.000000
1730861243055,-26.697900,11.416300,-6.795900,-1.404000,-1.507600,9.851900,-586.250000,-629.500000,4113.500000
1730861243153,-19.314200,6.359100,-7.995900,-1.830900,0.541800,9.408200,-651.500000,-297.250000,3979.250000
1730861243254,-22.906100,7.391800,0.563200,-1.135200,0.430500,10.354800,-474.000000,-179.750000,4323.500000
1730861243354,-19.220400,2.285700,-4.926500,-1.233400,0.249600,10.227300,-515.000000,104.250000,4270.250000
1730861243453,-35.689700,5.175500,-8.967300,0.707100,0.706500,9.837500,-295.250000,295.000000,4107.500000
1730861243553,-34.538700,14.012200,-5.322400,-1.288500,2.745200,8.240600,-583.000000,1163.750000,3459.500000
1730861243653,-24.159100,15.081600,-1.763200,1.231000,3.165000,8.650800,514.000000,1321.500000,3612.000000
1730861243753,-6.681600,14.783600,2.648900,0.866900,4.116400,8.061000,362.000000,1718.750000,3365.750000
1730861243852,-13.824400,18.628500,5.273400,0.307100,3.998400,9.047100,-128.250000,1669.500000,3777.500000
1730861243952,-12.444800,16.718300,-1.134600,0.714900,4.761200,7.807700,326.500000,1987.000000,3260.000000
1730861244051,-3.126500,15.044800,2.142800,1.304000,4.636700,7.779600,544.500000,1936.000000,3248.250000
